session,name,onset,duration,modulation
0,Rest,7.1,0,1
0,Rest,10.8,0,1
0,Rest,67.1,0,1
0,Rest,70.8,0,1
0,Rest,74.5,0,1
0,Rest,78.2,0,1
0,Rest,93.6,0,1
0,Rest,97.3,0,1
0,Rest,112.3,0,1
0,Rest,116,0,1
0,Rest,119,0,1
0,Rest,134.7,0,1
0,Rest,142.3,0,1
0,Rest,146,0,1
0,Rest,149.7,0,1
0,Rest,156.5,0,1
0,Rest,160.2,0,1
0,Rest,164.3,0,1
0,Rest,183.4,0,1
0,Rest,246.8,0,1
0,Rest,250.5,0,1
0,Rest,254.3,0,1
0,Rest,258.4,0,1
0,Rest,325.9,0,1
0,Rest,329.7,0,1
0,Rest,366.8,0,1
0,Rest,370.5,0,1
0,Rest,381.7,0,1
0,Rest,385.4,0,1
0,Rest,407.9,0,1
0,Rest,411.6,0,1
0,Rest,415.4,0,1
0,Rest,419.1,0,1
0,Rest,419.1,0,1
0,Rest,419.1,0,1
0,calculaudio,47.9,0,1
0,calculaudio,59.6,0,1
0,calculaudio,63.7,0,1
0,calculaudio,122.7,0,1
0,calculaudio,153.5,0,1
0,calculaudio,191,0,1
0,calculaudio,194.3,0,1
0,calculaudio,239.3,0,1
0,calculaudio,265.5,0,1
0,calculaudio,340.5,0,1
0,calculaudio,340.5,0,1
0,calculaudio,340.5,0,1
0,calculvideo,0,0,1
0,calculvideo,3,0,1
0,calculvideo,179,0,1
0,calculvideo,213.4,0,1
0,calculvideo,227.7,0,1
0,calculvideo,273.4,0,1
0,calculvideo,277.1,0,1
0,calculvideo,302.7,0,1
0,calculvideo,318.4,0,1
0,calculvideo,351.4,0,1
0,calculvideo,351.4,0,1
0,calculvideo,351.4,0,1
0,calculvideo,351.4,0,1
0,clicDaudio,17.9,0,1
0,clicDaudio,127.3,0,1
0,clicDaudio,138.5,0,1
0,clicDaudio,201.4,0,1
0,clicDaudio,224.7,0,1
0,clicDaudio,261.4,0,1
0,clicDaudio,284.7,0,1
0,clicDaudio,313.4,0,1
0,clicDaudio,336.4,0,1
0,clicDaudio,363,0,1
0,clicDaudio,363,0,1
0,clicDaudio,363,0,1
0,clicDvideo,26.2,0,1
0,clicDvideo,44.9,0,1
0,clicDvideo,85.7,0,1
0,clicDvideo,101,0,1
0,clicDvideo,288.4,0,1
0,clicDvideo,299.3,0,1
0,clicDvideo,310.5,0,1
0,clicDvideo,373.8,0,1
0,clicDvideo,377.6,0,1
0,clicDvideo,397.1,0,1
0,clicDvideo,397.1,0,1
0,clicDvideo,397.1,0,1
0,clicGaudio,14.6,0,1
0,clicGaudio,33.3,0,1
0,clicGaudio,89.1,0,1
0,clicGaudio,197.7,0,1
0,clicGaudio,209,0,1
0,clicGaudio,235.2,0,1
0,clicGaudio,306.8,0,1
0,clicGaudio,344.3,0,1
0,clicGaudio,347.7,0,1
0,clicGaudio,355.9,0,1
0,clicGaudio,355.9,0,1
0,clicGaudio,355.9,0,1
0,clicGvideo,37.1,0,1
0,clicGvideo,104,0,1
0,clicGvideo,168.1,0,1
0,clicGvideo,175.6,0,1
0,clicGvideo,217.2,0,1
0,clicGvideo,243.1,0,1
0,clicGvideo,280.5,0,1
0,clicGvideo,291.8,0,1
0,clicGvideo,295.5,0,1
0,clicGvideo,359.3,0,1
0,clicGvideo,359.3,0,1
0,clicGvideo,359.3,0,1
0,phraseaudio,22.5,0,1
0,phraseaudio,29.6,0,1
0,phraseaudio,40.8,0,1
0,phraseaudio,130.6,0,1
0,phraseaudio,171.4,0,1
0,phraseaudio,205.6,0,1
0,phraseaudio,321.8,0,1
0,phraseaudio,388.8,0,1
0,phraseaudio,400.1,0,1
0,phraseaudio,404.2,0,1
0,phraseaudio,404.2,0,1
0,phraseaudio,404.2,0,1
0,phrasevideo,52.5,0,1
0,phrasevideo,55.8,0,1
0,phrasevideo,81.6,0,1
0,phrasevideo,108.6,0,1
0,phrasevideo,186.4,0,1
0,phrasevideo,221,0,1
0,phrasevideo,231.8,0,1
0,phrasevideo,269.7,0,1
0,phrasevideo,333.4,0,1
0,phrasevideo,393.3,0,1
0,phrasevideo,393.3,0,1
